id;referencia;nome_produto;marca;categoria;especificacao;caracteristicas;preco_eur;preco_formatado;pagina_catalogo
1;74365;AGUJAS PROCLINIC;Proclinic;AGUJAS Y ANESTESIAS;Agujas 30G 0,3 x 21 mm.;Agujas desechables;17.15;17,15 €;20
2;74366;AGUJAS PROCLINIC;Proclinic;AGUJAS Y ANESTESIAS;Agujas 30G 0,3 x 25 mm.;Agujas desechables;17.15;17,15 €;20
3;74367;AGUJAS PROCLINIC;Proclinic;AGUJAS Y ANESTESIAS;Agujas 27G 0,4 x 35 mm;Agujas desechables;17.15;17,15 €;20
4;74368;AGUJAS PROCLINIC;Proclinic;AGUJAS Y ANESTESIAS;Agujas 30XG-Short 0,3;Agujas desechables;17.15;17,15 €;20
5;74369;AGUJAS PROCLINIC;Proclinic;AGUJAS Y ANESTESIAS;Agujas 30XG-Short 0,3;Agujas desechables;17.15;17,15 €;20
6;21010;AGUJAS TERUMO;Terumo;AGUJAS Y ANESTESIAS;27G (0,4x21mm) Infiltrativa (Corta interna);100 unidades;21.19;21,19 €;21
7;21011;AGUJAS TERUMO;Terumo;AGUJAS Y ANESTESIAS;27L (0,4x35mm) Troncular;100 unidades;21.19;21,19 €;21
8;21012;AGUJAS TERUMO;Terumo;AGUJAS Y ANESTESIAS;30G (0,3x21mm) Infiltrativa;100 unidades;26.28;26,28 €;21
9;21013;AGUJAS TERUMO;Terumo;AGUJAS Y ANESTESIAS;27G (0,4x21mm) Infiltrativa;100 unidades;26.28;26,28 €;21
10;21014;AGUJAS TERUMO;Terumo;AGUJAS Y ANESTESIAS;30XG (0,3x16mm) Infiltrativa;100 unidades;26.28;26,28 €;21
11;21015;AGUJAS TERUMO;Terumo;AGUJAS Y ANESTESIAS;30XG (0,3x13mm) Intraligamentosa;100 unidades;26.28;26,28 €;21
12;2425;AGUJAS SOPIRA;Kulzer;AGUJAS Y ANESTESIAS;30G - Infiltrativa. 0,3 x 25 mm.;Caja de 100 unidades;26.28;26,28 €;21
13;2426;AGUJAS SOPIRA;Kulzer;AGUJAS Y ANESTESIAS;27L - Troncular. 0,4 x 38 mm.;Caja de 100 unidades;26.28;26,28 €;21
14;2427;AGUJAS SOPIRA;Kulzer;AGUJAS Y ANESTESIAS;27G - Infiltrativa. 0,4 x 25 mm.;Caja de 100 unidades;26.28;26,28 €;21
